,Company,"Street, no., building etc, line 1",City,Country,"NACE Rev. 2
Core code (4 digits)","Operating
revenue
(Turnover)
m EUR
2017","Operating
revenue
(Turnover)
m EUR
2016","Operating
revenue
(Turnover)
m EUR
2015","Operating
revenue
(Turnover)
m EUR
2014","Operating
revenue
(Turnover)
m EUR
2013","Operating
revenue
(Turnover)
m EUR
2012","Operating
revenue
(Turnover)
m EUR
2011","Operating
revenue
(Turnover)
m EUR
2010","Operating
revenue
(Turnover)
m EUR
2009","Operating
revenue
(Turnover)
m EUR
2008","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Number of employees
2009","Number of employees
2008"
200.,Mitsubishi HiTec Paper Europe GmbH,NIEDERNHOLZ 23,BIELEFELD,Germany,1712,n.a.,n.a.,293,279,289,304,289,288,184,241,n.a.,n.a.,641,654,664,671,674,660,494,527
144.,Mitteldeutsche Braunkohlengesellschaft mbH,GLUECK-AUF-STR. 1,ZEITZ,Germany,0520,n.a.,n.a.,459,470,463,474,439,288,n.a.,384,n.a.,n.a.,"1,771","1,888","1,664","1,769","1,863","1,692",n.a.,"1,991"
372.,MITTELRHEINISCHE ERDGASTRANSPORTLEITUNGSGESELLSCHAFT MBH,EMIL-MOOG-PLATZ 13,DORTMUND,Germany,4950,n.a.,78,78,78,78,77,78,78,77,78,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,2,n.a.,n.a.
86.,MKM Mansfelder Kupfer und Messing GmbH,LICHTLOECHERBERG 40,HETTSTEDT,Germany,2444,n.a.,n.a.,"1,006",929,"1,006","1,155","1,182","1,079",775,"1,169",n.a.,n.a.,"1,072","1,033","1,049","1,051","1,046","1,022","1,024","1,018"
819.,Mohn Media Mohndruck GmbH,CARL-BERTELSMANN-STR. 161,GUETERSLOH,Germany,1812,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,2,2,2,2,2,n.a.,n.a.,n.a.,n.a.
134.,Molkerei MEGGLE Wasserburg GmbH & Co.KG,MEGGLESTR. 6 -12,REITMEHRING,Germany,4633,n.a.,n.a.,542,609,606,542,508,431,365,394,n.a.,n.a.,922,892,838,805,788,778,765,770
453.,MöllerWerke GmbH,KUPFERHAMMER,BIELEFELD,Germany,2221,n.a.,n.a.,35,36,35,36,39,n.a.,n.a.,n.a.,n.a.,n.a.,225,221,211,212,213,206,218,245
762.,Mondelez Deutschland Snacks Production GmbH & Co. KG,LANGEMARCKSTR. 4 -20,BREMEN,Germany,1089,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,600,600,973,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
942.,Montenegro Airlines,BEOGRADSKA 10,PODGORICA,Montenegro,5110,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
480.,MORGAN MOLTEN METAL SYSTEMS GMBH,NOLTINASTR. 29,BERKATAL,Germany,2320,n.a.,n.a.,23,21,19,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,126,126,122,128,116,96,104,119
849.,Moritz J. Weig GmbH & Co. KG,POLCHER STR. 113,MAYEN,Germany,1712,n.a.,n.a.,133,139,138,142,139,125,n.a.,n.a.,n.a.,412,412,404,391,374,366,n.a.,n.a.,n.a.
497.,MSW Moselstahlwerk GmbH,ELTZSTR. 65,TRIER,Germany,2410,n.a.,n.a.,15,16,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,66,63,41,n.a.,n.a.,n.a.,n.a.,n.a.
30.,MTU Aero Engines AG,DACHAUER STRASSE 665,MUNCHEN,Germany,3030,n.a.,"4,750","4,450","3,925","3,751","3,387","2,942","2,715","2,646","2,732",n.a.,"8,368","8,334","8,333","8,695","8,541","8,202","7,907","7,665","7,537"
928.,MTU Friedrichshafen GmbH,MAYBACHPLATZ 1,FRIEDRICHSHAFEN,Germany,2811,n.a.,n.a.,n.a.,"2,114","2,102","2,014","2,079",n.a.,n.a.,n.a.,"5,420",n.a.,n.a.,"5,769","5,746","5,746",n.a.,n.a.,n.a.,n.a.
748.,MTU Maintenance Berlin-Brandenburg GmbH,DR.-ERNST-ZIMMERMANN-STR. 2,LUDWIGSFELDE,Germany,2790,n.a.,n.a.,n.a.,220,220,220,220,n.a.,n.a.,n.a.,740,700,544,544,544,544,544,n.a.,n.a.,n.a.
774.,MTU Maintenance Hannover GmbH,MUENCHNER STR. 31,LANGENHAGEN,Germany,3030,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,641,n.a.,n.a.,n.a.,"1,650","1,650","1,650","1,650","1,650","1,650","1,484",n.a.,n.a.
802.,MTU Reman Technologies GmbH,FRIEDRICH-LIST-STR. 8,MAGDEBURG,Germany,2910,n.a.,65,71,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,300,300,285,285,285,205,205,n.a.,n.a.,n.a.
399.,MVR Müllverwertung Rugenberger Damm GmbH & Co. KG,RUGENBERGER DAMM 1,HAMBURG,Germany,3821,n.a.,n.a.,58,61,58,58,57,56,56,66,n.a.,n.a.,89,90,90,89,94,93,93,93
466.,MVV Enamic GmbH,LUISENRING 49,MANNHEIM,Germany,3511,n.a.,28,30,32,35,35,n.a.,65,54,50,n.a.,40,43,44,49,n.a.,n.a.,75,83,71
690.,MVV Enamic Korbach GmbH,LIMMERSTR. 2,KORBACH,Germany,3511,n.a.,n.a.,n.a.,9,10,10,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,17,17,16,n.a.,n.a.,n.a.,n.a.
482.,MVV Enamic Ludwigshafen GmbH,LUISENRING 49,MANNHEIM,Germany,9411,n.a.,21,25,27,27,18,22,18,17,20,n.a.,20,21,22,24,22,21,21,20,18
916.,MVV Energiedienstleistungen IS Bayern GmbH,RINGLERSTR. 28,INGOLSTADT,Germany,9411,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
460.,MVV ENERGYSOLUTIONS GMBH,LUISENRING 49,MANNHEIM,Germany,3513,n.a.,32,27,30,31,39,72,n.a.,29,11,n.a.,47,47,44,35,50,56,n.a.,17,11
394.,MVV Industriepark Gersthofen GmbH,LUDWIG-HERMANN-STR. 100,GERSTHOFEN,Germany,3511,n.a.,59,55,58,70,70,72,n.a.,n.a.,63,n.a.,190,192,200,210,210,n.a.,n.a.,n.a.,n.a.
196.,MVV NETZE GMBH,LUISENRING 49,MANNHEIM,Germany,3513,n.a.,297,375,364,363,334,n.a.,359,340,331,n.a.,316,44,42,40,37,n.a.,26,24,14
273.,MVV Umwelt Asset GmbH,OTTO-HAHN-STR. 1,MANNHEIM,Germany,3820,n.a.,152,154,158,158,174,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
302.,N-ERGIE KRAFTWERKE GMBH,AM PLAERRER 43,NUERNBERG,Germany,8299,n.a.,n.a.,122,124,134,136,122,120,140,117,n.a.,n.a.,125,127,124,n.a.,n.a.,n.a.,n.a.,n.a.
137.,N3 Engine Overhaul Services GmbH & Co. KG,GERHARD-HOELTJE-STR. 1,ARNSTADT,Germany,3316,n.a.,n.a.,518,524,543,421,340,291,306,197,n.a.,n.a.,530,582,514,470,417,409,417,386
732.,Nachtmann GmbH Werk Weiden,ZACHARIAS-FRANK-STR. 7,NEUSTADT,Germany,2313,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,249,233,233,234,237,223,186,165,189
436.,NARVA Lichtquellen GmbH + Co. KG i.I.,ERZSTR. 22,BRAND-ERBISDORF,Germany,2740,n.a.,n.a.,42,40,43,47,47,39,30,34,n.a.,n.a.,401,432,445,431,443,378,337,366
279.,Naturin Viscofan GmbH,BADENIASTR. 13,WEINHEIM,Germany,2221,n.a.,n.a.,148,162,161,144,142,128,137,132,n.a.,n.a.,537,531,520,510,520,524,554,n.a.
687.,NAXOS-DISKUS Schleifmittelwerke GmbH,WERNER-VON-SIEMENS-STR. 1,BUTZBACH,Germany,2391,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,8,10,n.a.,n.a.,119,111,110,115,115,98,77,86
933.,Neenah Gessner GmbH,OTTO-VON-STEINBEIS-STR. 14 B,BRUCKMUEHL,Germany,1712,n.a.,158,157,156,155,153,150,n.a.,n.a.,n.a.,481,481,481,481,481,481,481,n.a.,n.a.,n.a.
124.,Nemak Dillingen GmbH,MARIE-CURIE-STR.,DILLINGEN,Germany,7010,n.a.,624,627,487,374,376,379,278,169,250,n.a.,479,438,403,976,949,857,460,721,789
33.,Nestlé Deutschland Aktiengesellschaft,LYONER STR. 23,FRANKFURT,Germany,1089,n.a.,n.a.,"3,880","3,577","3,623","3,097","3,083","2,911","2,889",n.a.,n.a.,n.a.,"5,247","5,580","5,644","5,616","5,453","5,343","5,276",n.a.
806.,Neu Kaliß Spezialpapier GmbH,AM ALTEN POSTWEG 1,NEU KALISS,Germany,1721,n.a.,45,40,43,43,42,43,n.a.,n.a.,n.a.,138,138,138,138,136,136,129,n.a.,n.a.,n.a.
263.,Neubrandenburger Stadtwerke GmbH,JOHN-SCHEHR-STR. 1,NEUBRANDENBURG,Germany,3513,n.a.,n.a.,169,180,176,162,150,156,155,164,n.a.,n.a.,448,436,426,407,395,389,388,391
183.,NEUE HALBERG-GUSS GmbH,KIRCHSTR. 16,SAARBRUECKEN,Germany,2452,n.a.,n.a.,337,332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"2,957",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
692.,Neue Kalk GmbH & Co. KG,LOUISE-SEHER-STR. 6,DIEZ,Germany,0811,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,1,1,n.a.
753.,Neukölln Spezialpapier NK GmbH & Co.KG,WOERMANNKEHRE 2,BERLIN,Germany,1700,n.a.,15,11,13,16,5,n.a.,n.a.,n.a.,n.a.,71,77,77,77,74,74,n.a.,n.a.,n.a.,n.a.
944.,NEUMAG ZWEIGNIEDERLASSUNG DER SAURER GMBH & CO. KG,,,Sweden,4663,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,0,0,n.a.,n.a.,n.a.,n.a.,n.a.
79.,NEXANS DEUTSCHLAND INDUSTRIES GMBH & CO. KG,KABELKAMP 20,HANNOVER,Germany,2732,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
682.,Nikolaus Müller Kalkwerk-Natursteinwerke GmbH u. Co KG Ahütte,INDUSTRIESTR. 6,UEXHEIM,Germany,2352,n.a.,n.a.,n.a.,n.a.,7,7,7,7,n.a.,n.a.,n.a.,n.a.,40,40,35,35,35,n.a.,n.a.,n.a.
341.,Noelle + von Campe Glashütte GmbH,SOLLINGSTR. 14,BOFFZEN,Germany,2313,n.a.,n.a.,95,87,83,80,73,69,65,55,n.a.,n.a.,447,433,430,415,414,408,378,277
895.,Nolte Holzwerkstoff GmbH & Co. KG,KONRAD-NOLTE-STR. 40,GERMERSHEIM,Germany,1621,n.a.,n.a.,81,85,n.a.,66,66,66,n.a.,n.a.,n.a.,189,179,182,203,203,203,200,n.a.,n.a.
760.,NordCeram GmbH,SCHOENEBECKER STR. 101,BREMEN,Germany,2331,n.a.,n.a.,n.a.,46,45,44,n.a.,n.a.,n.a.,n.a.,150,150,150,150,150,150,n.a.,n.a.,n.a.,n.a.
344.,Norddeutsche Steingut AG,SCHONEBECKER STRASSE 101,BREMEN,Germany,2331,n.a.,94,94,102,87,86,83,79,82,80,n.a.,522,506,482,334,332,311,296,328,324
215.,Nordenhamer Zinkhütte GmbH,JOHANNASTR. 1,NORDENHAM,Germany,2443,n.a.,n.a.,267,299,265,293,326,303,201,255,n.a.,n.a.,339,335,333,335,333,324,315,316
101.,Nordland Papier GmbH,NORDLANDALLEE 1,DOERPEN,Germany,1711,n.a.,n.a.,782,688,688,835,852,937,758,850,n.a.,n.a.,"1,376","1,365","1,376","1,429","1,451","1,448","1,459","1,507"
498.,Nordrheinische Erdgastransportleitungsgesellschaft mbH & Co. KG,EMIL-MOOG-PLATZ 13,DORTMUND,Germany,4221,n.a.,16,16,16,16,16,16,16,13,27,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7,n.a.,n.a.,n.a.
64.,Nordzucker AG,KUECHENSTR. 9,BRAUNSCHWEIG,Germany,1081,n.a.,n.a.,"1,650","1,928","2,408","2,472","2,326","1,740","1,759","1,260",n.a.,n.a.,"3,206","3,284","3,279","3,290","3,280","3,508","4,346","2,844"
35.,Novelis Deutschland GmbH,HANNOVERSCHE STR. 1,GOETTINGEN,Germany,2442,n.a.,n.a.,"2,980","3,026","2,169","2,071","2,207","2,178","1,680","1,881",n.a.,n.a.,"2,174","2,073","2,005","1,988","2,221","2,188","2,199","2,301"
591.,Novelis Sheet Ingot GmbH,,,Germany,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
606.,"Novellus Systems, Inc.",4650 CUSHING PKWY,FREMONT,United States of America,2899,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
242.,NürnbergMesse GmbH,MESSEZENTRUM,NUERNBERG,Germany,8230,n.a.,n.a.,206,232,194,237,177,207,136,155,n.a.,n.a.,540,536,505,503,453,395,295,256
149.,NXP SEMICONDUCTORS GERMANY GMBH,TROPLOWITZSTR. 20,HAMBURG,Germany,2611,n.a.,n.a.,439,422,421,396,482,505,581,763,n.a.,n.a.,"1,854","1,826","1,732","1,691",861,901,"1,784","2,867"
381.,Nynas GmbH & Co. KG,AM KAISERKAI 1,HAMBURG,Germany,1920,n.a.,n.a.,69,63,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,95,89,3,n.a.,n.a.,n.a.,n.a.,n.a.
237.,O-I GLASSPACK GmbH & Co.KG,GOETHESTR. 75,DUESSELDORF,Germany,2313,n.a.,218,215,204,200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,686,640,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
159.,O. & L. Sels GmbH & Co. KG,DUESSELDORFER STR. 101,NEUSS,Germany,1041,n.a.,n.a.,408,406,451,443,387,311,218,296,n.a.,n.a.,100,96,94,90,89,85,87,88
656.,OBO JET-Charter GmbH,HUEINGSER RING 52,MENDEN,Germany,7735,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,n.a.,n.a.,n.a.,n.a.,2,2,2,2,1,n.a.,n.a.,n.a.
293.,Odenwald Faserplattenwerk GmbH,DR. F.A.-FREUNDT-STR. 3,AMORBACH,Germany,2500,n.a.,n.a.,127,130,127,128,126,119,113,129,n.a.,n.a.,540,550,564,557,554,539,542,535
348.,OIE AG,HAUPTSTR. 189,IDAR-OBERSTEIN,Germany,4931,n.a.,92,103,97,104,102,110,87,89,95,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,n.a.,n.a.
780.,Oldenburger Fleischmehlfabrik GmbH,ZUR FLEISCHMEHLFABRIK 1,FRIESOYTHE,Germany,1091,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,120,120,120,120,120,120,119,n.a.,n.a.
773.,Olenex Edible Oils GmbH,NORDSTR. 40,BRAKE,Germany,1041,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
489.,Oleon GmbH,INDUSTRIESTR. 10,EMMERICH AM RHEIN,Germany,2110,n.a.,18,19,19,20,19,19,19,16,42,n.a.,118,117,122,122,120,118,110,104,108
620.,Olfry Ziegelwerke GmbH & Co.KG,FRIESENSTR. 9 -11,VECHTA,Germany,2332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,58,61,57,57,n.a.,n.a.,n.a.,n.a.
143.,OMIRA Oberland-Milchverwertung Gesellschaft mit beschränkter Haftung,JAHNSTR. 10,RAVENSBURG,Germany,1050,n.a.,n.a.,463,612,651,636,596,519,438,474,n.a.,n.a.,554,526,651,637,577,544,529,490
456.,"Omni Air International, Inc.",3401 N SHERIDAN RD,TULSA,United States of America,7990,32,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,175,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
40.,OMV Deutschland GmbH,HAIMINGER STR. 1,BURGHAUSEN,Germany,4671,n.a.,"2,778","3,275","6,219","7,998","8,203","7,100","5,616","4,162","6,328",n.a.,472,476,479,480,512,537,552,597,610
173.,ONTRAS Gastransport GmbH,MAXIMILIANALLEE 4,LEIPZIG,Germany,0910,n.a.,376,365,356,316,267,280,223,301,342,n.a.,314,301,275,274,259,70,60,54,45
295.,OPAL Gastransport GmbH & Co. KG,EMMERICHSTR. 11,KASSEL,Germany,4940,n.a.,130,138,n.a.,177,164,46,1,0,n.a.,n.a.,9,8,n.a.,10,10,9,n.a.,n.a.,n.a.
878.,Opel Automobile GmbH,BAHNHOFSPLATZ,RUESSELSHEIM,Germany,2932,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"19,000",2,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.
88.,Open Grid Europe GmbH,KALLENBERGSTR. 5,ESSEN,Germany,3530,n.a.,"1,022","1,001","1,080",989,"1,081","1,225","1,422",932,375,n.a.,"1,354","1,357","1,351","1,408","1,555","1,542","1,496",288,170
796.,OPTERRA Zement GmbH,GOERDELERRING 9,LEIPZIG,Germany,0899,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7,220,220,220,250,250,250,n.a.,n.a.
129.,Orion Engineered Carbons GmbH,HAHNSTR. 49,FRANKFURT,Germany,6420,n.a.,573,612,609,606,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,476,483,491,538,n.a.,n.a.,n.a.,n.a.,n.a.
50.,OSRAM GmbH,MARCEL-BREUER-STR. 6,MUENCHEN,Germany,2790,n.a.,"2,097","1,902","1,920","1,956","1,936","1,915",n.a.,n.a.,n.a.,n.a.,"4,832","5,677","6,005","6,286","6,514","6,556",n.a.,n.a.,n.a.
706.,Ott-Ziegel Pfullendorf GmbH & Co. KG,GRADEBERGSTR. 24,UEBERLINGEN,Germany,2332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4,4,4,n.a.,n.a.,n.a.,n.a.,n.a.,2,4,21,21,21
712.,Otto Morof Tief- und Straßenbau GmbH,GOTTLIEB-BRAUN-STR. 17,ALTHENGSTETT,Germany,4211,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,190,185,174,169,165,161,164,146
55.,Outokumpu Nirosta GmbH,OBERSCHLESIENSTR. 16,KREFELD,Germany,2599,n.a.,n.a.,"1,912","1,939","2,273","2,413","2,829","2,484",n.a.,n.a.,n.a.,n.a.,"2,516","2,944","3,379","3,725","3,761","3,654",n.a.,n.a.
601.,Owens Corning,,,United States of America,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
856.,OXEA Produktion GmbH & Co. KG,OTTO-ROELEN-STR. 3,OBERHAUSEN,Germany,7820,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,450,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
331.,Oxxynova GmbH,BORSTELER WEG 50,STEYERBERG,Germany,2014,n.a.,n.a.,98,112,103,96,105,96,58,116,n.a.,n.a.,134,135,134,130,130,165,171,195
311.,p + p promotion of german manufacturing technologies gmbh,OEschlestr. 124 -126,Radolfzell,Germany,6203,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,3,n.a.,n.a.,n.a.
395.,P-D Glasseiden GmbH Oschatz,WELLERSWALDER WEG 17,OSCHATZ,Germany,2314,n.a.,62,62,58,64,n.a.,n.a.,76,60,81,n.a.,393,403,385,372,n.a.,n.a.,362,372,423
398.,P-D Industriegesellschaft mbH,WILSDRUFFER STR. 11,GRUMBACH,Germany,2314,n.a.,n.a.,59,59,47,67,59,50,55,72,n.a.,n.a.,388,390,291,408,353,372,n.a.,393
426.,P-D refractories GmbH,WILSDRUFFER STR. 11,GRUMBACH,Germany,2320,n.a.,n.a.,48,38,59,84,98,90,101,129,n.a.,n.a.,278,281,585,593,599,595,n.a.,623
727.,Pacelli-Beteiligungs GmbH & co. KG,PROMENADEPLATZ 12,MUENCHEN,Germany,7010,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,2,2,n.a.,n.a.,5
834.,Paderborner Kühlhaus GmbH & Co. KG,HALBERSTAEDTER STR. 60,PADERBORN,Germany,5210,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,99,99,99,99,99,99,107,n.a.,n.a.,n.a.
393.,Pall Filtersystems GmbH,PLANIGER STR. 137,BAD KREUZNACH,Germany,1729,n.a.,n.a.,61,54,53,54,115,128,122,124,n.a.,n.a.,402,401,400,412,461,484,487,524
901.,Palm Power GmbH & Co. KG,NEUKOCHEN 10,AALEN,Germany,3511,n.a.,n.a.,100,100,100,100,90,n.a.,n.a.,n.a.,1,1,1,1,1,1,1,n.a.,n.a.,n.a.
788.,Papier- u. Kartonfabrik Varel GmbH & Co. Kommanditgesellschaft,DANGASTER STR. 38,VAREL,Germany,1712,n.a.,329,335,322,308,264,269,n.a.,n.a.,n.a.,531,511,499,481,428,417,436,n.a.,n.a.,n.a.
869.,Papierfabrik Adolf Jass GmbH & Co. KG,HERMANN-MUTH-STR. 6,FULDA,Germany,7010,n.a.,n.a.,0,0,0,0,0,0,n.a.,n.a.,n.a.,1,1,1,1,3,3,n.a.,n.a.,n.a.
870.,Papierfabrik Adolf Jass Schwarza GmbH,HERMANN-MUTH-STR. 6,FULDA,Germany,1712,n.a.,n.a.,164,170,171,159,160,150,n.a.,n.a.,n.a.,159,162,161,161,163,163,n.a.,n.a.,n.a.
568.,Papierfabrik am Neckar GmbH & Co. KG,KIRCHHEIMER STR 3-7,GEMMRIGHEIM,Germany,7010,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
108.,Papierfabrik August Koehler SE,HAUPTSTR. 2,OBERKIRCH,Germany,1712,n.a.,739,746,677,706,754,n.a.,n.a.,n.a.,n.a.,n.a.,"1,727","1,706","1,693","1,669","1,674",n.a.,n.a.,n.a.,n.a.
462.,Papierfabrik Hainsberg GmbH,DRESDNER STR. 321,FREITAL,Germany,1712,n.a.,n.a.,30,30,31,31,33,32,31,30,n.a.,n.a.,109,114,116,113,110,106,99,93
932.,Papierfabrik Louisenthal Gesellschaft mit beschränkter Haftung,LOUISENTHAL 1,GMUND,Germany,1712,n.a.,250,250,230,210,210,210,n.a.,n.a.,n.a.,764,764,764,764,764,764,764,n.a.,n.a.,n.a.
789.,Papierfabrik Meldorf GmbH & Co. Kommanditgesellschaft,ESINGER STR. 5 7,TORNESCH,Germany,1712,n.a.,34,34,34,34,37,49,n.a.,n.a.,n.a.,113,113,113,113,113,131,127,n.a.,n.a.,n.a.
276.,PAPIERFABRIK NIEDERAUER MUEHLE GMBH,WINDENER WEG 1,KREUZAU,Germany,1712,n.a.,n.a.,150,144,137,122,103,85,60,79,n.a.,n.a.,166,160,151,150,142,129,129,132
900.,Papierfabrik Palm GmbH & Co.KG,NEUKOCHEN 10,AALEN,Germany,1712,n.a.,"1,400","1,350","1,250","1,140","1,100","1,100",n.a.,n.a.,n.a.,"4,000","4,000","4,000","4,000","3,000","3,000",700,n.a.,n.a.,n.a.
896.,Papierfabrik Scheufelen GmbH + Co. KG,ADOLF-SCHEUFELEN-STR. 26,LENNINGEN,Germany,1712,n.a.,100,95,184,175,213,205,n.a.,n.a.,n.a.,330,350,350,584,584,590,590,n.a.,n.a.,n.a.
824.,Papierfabrik Tönnesmann Hönnetal GmbH & Co. KG,HOENNETALSTR. 53,MENDEN,Germany,1712,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,50,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
448.,Papierfabrik Vreden GmbH,AUSBACHSTR. 9,VREDEN,Germany,1712,n.a.,n.a.,37,34,33,27,32,27,15,n.a.,n.a.,n.a.,62,62,61,62,62,60,60,60
663.,Papierwerk Sundern GmbH,HAUPTSTR. 20,SUNDERN,Germany,1722,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,9,9,n.a.,n.a.,n.a.,55,n.a.,50,53,n.a.,n.a.,n.a.,n.a.
705.,Papierwerke Lenk AG,RICHARD-LENK-STR. 19 -23,KAPPELRODECK,Germany,2895,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,140,132,132,126,127,114,105,n.a.
534.,Pappenfabrik Nierfeld Joseph Piront GmbH & Co. KG,LUXEMBURGER STR. 16,SCHLEIDEN,Germany,1720,n.a.,n.a.,4,5,4,4,4,n.a.,n.a.,n.a.,n.a.,n.a.,31,32,31,28,n.a.,n.a.,n.a.,n.a.
725.,Pappenfabrik Trauchgau GmbH & Co. KG,STOCKINGEN 2,HALBLECH,Germany,1712,n.a.,n.a.,n.a.,n.a.,n.a.,9,9,8,7,8,n.a.,n.a.,46,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
298.,Parc Aviation Limited,UNIT 21,DUBLIN 17,Ireland,5229,n.a.,n.a.,120,112,105,109,95,84,83,71,n.a.,n.a.,75,67,65,62,52,51,n.a.,43
665.,Pasel & Lohmann Ziegelwerke GmbH,SALZKOTTENER STR. 35 -36,BORCHEN,Germany,2332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,16,16,16,n.a.,n.a.,n.a.,n.a.
188.,Paulaner Brauerei GmbH & Co. KG,OHLMUELLERSTR. 42,MUENCHEN,Germany,1105,n.a.,326,327,320,306,302,281,276,257,387,n.a.,"1,036","1,061",983,969,937,936,916,"1,194","1,216"
